,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,33,0,0,33,101,236,405,607,810,1012,1114,1147,1080,979,877,810,810,776,742,675,540,405,236,101
月曜日,0,0,0,0,270,979,1890,2599,2633,1991,1215,742,641,844,1114,1384,1553,1586,1519,1350,1114,844,573,337
火曜日,135,0,0,0,135,810,1789,2565,2599,1958,1282,911,911,1046,1249,1384,1519,1519,1485,1316,1114,844,573,337
水曜日,101,0,0,0,202,877,1958,2903,2970,2160,1282,810,776,945,1181,1384,1519,1620,1586,1451,1249,979,708,438
木曜日,236,33,0,0,101,911,2261,3308,3139,2059,1147,810,877,1080,1316,1485,1620,1654,1586,1417,1181,911,607,337
金曜日,101,0,0,0,67,945,2363,3376,3072,1958,1249,1147,1147,1080,1114,1350,1553,1721,1721,1654,1451,1181,844,540
土曜日,270,33,0,0,236,540,911,1282,1586,1755,1789,1721,1586,1451,1350,1282,1282,1249,1147,1012,844,607,405,202
