,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,1663,1209,1058,1134,1209,1663,2268,2872,3402,3855,4233,4460,4536,4536,4536,4460,4384,4233,3931,3477,2948,2343,1814,1360
月曜日,982,756,756,907,1360,2948,5065,6728,7106,6275,5292,4762,4611,4762,4989,5292,5594,5670,5519,5065,4460,3628,2872,2116
火曜日,1436,982,680,756,1587,3024,4914,6275,6653,6123,5367,4914,4838,4914,5065,5292,5519,5594,5519,5141,4536,3780,2948,2116
水曜日,1436,982,680,831,1814,3477,5367,6728,7031,6350,5367,4762,4687,4762,4989,5292,5594,5821,5897,5594,4989,4082,3175,2192
木曜日,1436,907,680,907,1738,3326,5367,6955,7333,6653,5519,4838,4611,4838,5216,5519,5821,5972,5821,5443,4762,3931,2948,2116
金曜日,1360,907,680,831,1587,3175,5367,7182,7560,6728,5670,4989,4838,4914,5216,5594,6048,6275,6275,5972,5367,4611,3704,2797
土曜日,2041,1360,982,907,1587,2494,3553,4611,5292,5519,5519,5519,5670,5897,6048,5972,5745,5443,4989,4536,4006,3402,2797,2192
