,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,0,0,0,0,0,53,161,287,394,484,520,538,538,520,484,430,376,323,287,233,179,143,89,35
月曜日,0,0,0,0,53,430,1076,1615,1507,969,556,466,502,574,628,646,646,628,574,502,412,323,233,143
火曜日,53,0,0,0,71,394,951,1453,1507,1148,735,538,520,574,628,664,664,646,592,520,430,341,233,143
水曜日,53,0,0,0,71,448,1094,1633,1651,1202,717,502,484,556,628,682,699,682,628,556,466,358,251,143
木曜日,53,0,0,0,107,592,1310,1794,1651,1112,717,574,574,574,574,592,610,628,592,538,466,358,251,143
金曜日,53,0,0,0,53,466,1166,1723,1705,1220,753,574,538,574,610,628,664,682,682,646,574,466,358,251
土曜日,143,35,0,0,53,215,448,646,789,825,807,771,753,735,735,717,682,628,556,484,376,287,179,89
