,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,34,0,0,17,0,120,240,378,499,568,602,602,568,516,481,464,447,430,413,378,327,258,154,68
月曜日,0,0,0,0,103,481,981,1428,1600,1411,998,568,327,309,447,636,826,912,877,740,533,327,172,86
火曜日,51,0,0,0,223,602,1049,1411,1480,1256,877,550,395,430,602,808,946,981,912,722,516,344,206,120
水曜日,51,0,0,17,172,533,1067,1566,1704,1411,929,550,430,533,740,946,1067,1049,929,757,568,413,292,189
木曜日,103,34,0,17,206,636,1187,1600,1686,1428,963,550,344,378,568,791,946,981,895,705,481,292,172,86
金曜日,34,0,0,0,240,636,1153,1583,1721,1497,1067,671,447,464,636,860,1049,1084,998,808,602,413,275,206
土曜日,120,34,0,17,172,378,585,757,877,895,843,774,705,671,688,705,688,636,533,447,378,309,223,137
