,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,1926,1284,1070,1070,1177,1712,2462,3211,3961,4496,4924,5138,5245,5245,5352,5245,5138,4924,4496,4175,3639,3104,2462,1926
月曜日,1391,1070,856,856,856,2890,6851,9956,9313,6423,4924,5031,4924,4603,4710,5352,6209,6744,6851,6637,5888,4924,3746,2783
火曜日,1819,1177,642,428,1177,3104,6209,8778,8564,6530,5031,5031,5031,4710,4817,5352,6209,6744,6851,6530,5888,4924,3853,2890
水曜日,1926,1284,749,642,1498,3853,7386,9956,9527,6958,5138,5031,5245,5031,4924,5459,6316,6851,7065,6744,5995,5031,3961,2890
木曜日,1926,1284,749,749,1391,3532,7065,9849,9634,7279,5352,5031,5245,5031,5031,5780,6637,7279,7386,7065,6316,5245,4068,2890
金曜日,1926,1177,749,642,1070,3104,7172,10705,10170,7172,5459,5352,5459,5245,5352,5995,6744,7386,7707,7493,6851,5888,4710,3532
土曜日,2569,1712,1070,749,1605,2569,3853,5031,5780,5995,5888,5888,6209,6423,6637,6423,6209,5888,5673,5245,4817,4175,3425,2676
