,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,1004,602,401,401,468,803,1271,1740,2209,2543,2811,2878,2945,2945,3079,3079,3079,2945,2744,2476,2142,1740,1338,937
月曜日,602,334,267,267,468,1673,4016,6091,6091,4418,3079,2744,2744,2744,2811,3146,3614,4016,4150,3949,3481,2811,2075,1405
火曜日,870,468,267,200,535,1740,3949,5824,5824,4351,3146,2811,2878,2677,2677,2945,3414,3882,4150,4016,3548,2878,2142,1472
水曜日,937,535,267,200,535,1941,4418,6560,6426,4619,3213,2878,2811,2744,2811,3213,3748,4217,4418,4217,3681,2945,2142,1405
木曜日,870,468,267,200,535,1941,4485,6694,6560,4619,3213,2878,2878,2744,2744,3079,3681,4150,4418,4284,3748,3079,2276,1539
金曜日,937,535,267,200,736,1941,4083,6091,6359,4886,3213,2476,2543,2878,3280,3681,4016,4284,4485,4418,4083,3414,2610,1807
土曜日,1138,669,401,401,669,1204,1874,2610,3280,3614,3614,3414,3213,3146,3414,3748,3949,3949,3614,3213,2744,2343,1941,1472
