,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,145,36,0,36,0,145,364,656,985,1313,1569,1787,1933,1970,1970,1933,1824,1678,1496,1277,985,729,474,255
月曜日,72,0,0,0,36,656,1824,2882,2992,2189,1605,1714,1860,1714,1714,2116,2736,3211,3320,3065,2517,1787,1094,547
火曜日,182,0,0,0,255,875,1714,2517,2809,2517,1897,1386,1240,1496,1897,2371,2809,3101,3138,2882,2335,1642,985,474
水曜日,145,0,0,0,0,693,1970,3211,3211,2152,1459,1714,1970,1678,1642,2189,2882,3429,3539,3211,2554,1751,1021,474
木曜日,109,0,0,0,36,729,2006,3174,3138,2225,1678,1824,1897,1714,1678,2116,2773,3284,3466,3211,2590,1860,1131,547
金曜日,182,0,0,0,109,839,2116,3284,3320,2408,1714,1933,2189,1933,1714,2079,2773,3356,3648,3466,2919,2152,1386,729
土曜日,291,0,0,0,218,474,802,1167,1532,1860,2116,2298,2371,2371,2408,2444,2481,2371,2189,1860,1459,1058,693,364
