,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,0,0,0,0,0,26,73,136,194,236,241,220,194,168,157,147,136,120,94,68,36,10,0,0
月曜日,0,0,0,0,31,157,315,415,378,262,168,131,141,157,173,178,178,168,152,131,99,73,42,15
火曜日,0,0,0,0,0,110,304,478,457,310,199,173,184,205,210,210,199,184,157,131,94,63,36,5
水曜日,0,0,0,0,0,110,346,525,436,236,136,126,147,168,184,189,184,173,152,131,99,73,42,15
木曜日,0,0,0,0,10,110,289,457,483,362,226,157,152,162,173,178,173,162,147,120,99,68,42,21
金曜日,0,0,0,0,0,105,310,504,504,352,231,205,210,220,220,215,199,184,168,147,120,99,73,47
土曜日,21,0,0,0,0,63,147,236,289,299,273,241,220,215,215,210,199,178,152,120,84,57,26,0
