,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,83,20,0,0,62,166,333,500,666,771,854,854,833,791,750,708,645,562,458,375,291,229,145,104
月曜日,41,0,0,0,145,666,1416,1896,1729,1271,1000,896,771,708,729,812,854,854,812,729,604,458,333,187
火曜日,83,0,0,0,187,604,1208,1687,1708,1354,979,791,791,854,916,937,937,875,791,687,562,437,291,187
水曜日,83,20,0,20,187,666,1396,1937,1875,1354,854,666,708,791,875,937,958,916,854,750,625,479,354,229
木曜日,125,41,0,0,187,645,1416,2062,2062,1521,958,729,708,791,854,896,916,875,812,729,604,500,375,250
金曜日,145,83,20,41,208,771,1542,2083,1958,1416,979,833,750,708,750,854,958,1021,1000,937,812,645,479,312
土曜日,166,41,0,0,125,375,708,1041,1250,1271,1187,1104,1062,1104,1104,1083,979,854,708,604,479,375,270,166
