,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,462,131,0,0,65,462,1058,1719,2447,3108,3703,4100,4364,4497,4497,4430,4232,3967,3505,2909,2314,1586,991,462
月曜日,65,0,0,0,0,1586,4298,6283,5886,4430,3902,4232,4232,3769,3636,4100,4695,5025,4960,4430,3636,2711,1719,859
火曜日,264,0,0,0,131,1851,4298,5886,5422,4298,4033,4430,4430,4100,4033,4364,4827,5092,4960,4364,3571,2578,1653,859
水曜日,197,0,0,0,131,1851,4430,6415,6283,4894,4298,4629,4629,4166,4166,4695,5291,5555,5422,4827,3902,2844,1851,925
木曜日,264,0,0,0,65,1719,4430,6613,6283,4563,3769,4232,4430,4033,3902,4364,4894,5224,5158,4695,3902,2975,2050,1189
金曜日,462,0,0,0,330,2116,4695,6480,6283,5025,4430,4563,4563,4232,4232,4695,5291,5688,5688,5224,4430,3438,2380,1454
土曜日,661,65,0,0,330,991,1917,2975,3967,4629,4960,5092,5092,5224,5357,5489,5422,5224,4695,4033,3239,2447,1653,991
