,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,0,0,0,0,0,7,79,159,247,334,430,526,613,677,677,613,486,334,199,103,39,0,0,0
月曜日,0,0,0,0,47,167,366,557,629,557,470,446,470,494,510,486,446,374,294,215,135,71,23,0
火曜日,0,0,0,0,55,207,398,565,645,613,534,478,470,510,541,541,494,406,310,215,135,79,31,0
水曜日,0,0,0,0,15,119,350,661,797,661,494,438,462,486,494,478,454,406,350,286,215,151,87,39
木曜日,0,0,0,0,7,175,430,685,781,693,518,398,382,430,478,502,470,406,326,239,159,95,47,7
金曜日,0,0,0,0,0,151,382,629,757,709,557,446,422,470,526,541,510,438,350,270,207,151,103,63
土曜日,23,0,0,0,31,95,183,286,390,494,581,653,685,693,669,621,549,470,382,294,215,143,79,23
