,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,35,0,0,0,70,212,389,566,743,849,885,849,778,708,672,672,672,637,566,495,389,283,177,70
月曜日,35,0,0,0,70,389,1699,3221,2442,1062,708,743,814,885,920,955,1026,1062,1026,920,743,495,283,141
火曜日,35,0,0,0,0,495,1911,3080,2407,1168,814,849,885,814,814,920,991,1026,991,849,637,460,247,106
水曜日,35,0,0,0,0,601,2265,3540,2584,1168,849,955,920,814,814,885,1026,1062,1026,885,672,460,283,106
木曜日,0,0,0,0,0,531,2159,3504,2584,1132,814,920,885,778,778,885,1026,1097,1097,991,778,566,354,177
金曜日,70,0,0,0,35,637,2124,3327,2726,1451,955,920,849,743,743,849,1026,1168,1168,1026,814,566,354,177
土曜日,35,0,0,0,70,424,991,1451,1416,1097,955,1062,1132,1132,1062,991,991,955,885,778,601,424,247,106
