,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,383,109,0,0,54,383,877,1425,2028,2576,3069,3398,3617,3727,3727,3672,3508,3288,2905,2411,1918,1315,822,383
月曜日,54,0,0,0,0,1315,3562,5207,4878,3672,3234,3508,3508,3124,3014,3398,3891,4165,4111,3672,3014,2247,1425,712
火曜日,219,0,0,0,109,1534,3562,4878,4494,3562,3343,3672,3672,3398,3343,3617,4001,4220,4111,3617,2960,2137,1370,712
水曜日,164,0,0,0,109,1534,3672,5317,5207,4056,3562,3837,3837,3453,3453,3891,4385,4604,4494,4001,3234,2357,1534,767
木曜日,219,0,0,0,54,1425,3672,5481,5207,3782,3124,3508,3672,3343,3234,3617,4056,4330,4275,3891,3234,2466,1699,986
金曜日,383,0,0,0,274,1754,3891,5371,5207,4165,3672,3782,3782,3508,3508,3891,4385,4714,4714,4330,3672,2850,1973,1205
土曜日,548,54,0,0,274,822,1589,2466,3288,3837,4111,4220,4220,4330,4440,4549,4494,4330,3891,3343,2685,2028,1370,822
