,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,418,0,0,0,0,418,1359,2301,2929,3243,3243,3138,3138,3138,3138,3138,3033,2824,2615,2301,1987,1464,941,523
月曜日,104,0,0,0,0,2196,6067,8682,7532,4602,3138,3033,2929,2719,2824,3661,4707,5649,6067,5753,4812,3661,2301,1150
火曜日,313,0,0,0,0,2301,6276,8996,7845,4812,3347,3243,3138,2824,2824,3452,4393,5021,5335,5021,4289,3347,2196,1255
水曜日,418,0,0,0,0,2406,6486,9310,8159,5021,3347,3243,3138,2824,2929,3766,4812,5753,6172,5962,5021,3766,2406,1255
木曜日,313,0,0,0,0,2301,6695,9938,8682,5126,3138,2929,2929,2719,2824,3556,4602,5544,5962,5858,5126,3975,2719,1569
金曜日,627,0,0,0,104,2196,6590,10461,9415,5439,2929,2510,2929,3556,4079,4602,5126,5649,5962,5858,5335,4289,3033,1778
土曜日,836,209,0,0,418,1359,2510,3661,4393,4602,4289,3975,3766,3975,4393,4707,4812,4393,3766,3243,2824,2406,1883,1150
