,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
日曜日,0,0,0,889,0,355,1245,1779,2312,2312,2312,2312,1245,889,355,0,0,0,0,0,0,0,0,0
月曜日,0,0,0,0,1779,4981,11563,17790,17790,12097,5514,1779,889,355,889,889,889,889,1245,1245,1245,1245,1245,1245
火曜日,889,889,889,889,3202,4981,6938,9784,11563,11563,9784,6404,4091,2312,1245,1245,1245,1245,1245,1245,1245,1245,1245,889
水曜日,1245,1245,1779,2312,2668,6938,12631,15833,14943,10674,6938,4625,4091,3735,3202,2312,1779,889,355,0,0,0,0,0
木曜日,0,0,0,355,1245,4091,8361,12097,12986,10674,7471,4625,3735,4091,4981,5514,5514,5514,4981,4091,3202,2312,1245,889
金曜日,355,0,0,0,0,1245,4981,8895,9784,7827,6048,5514,4981,4625,3202,2312,1245,1245,1245,1779,1779,1779,1779,1245
土曜日,1245,889,0,0,2312,4625,6404,7471,7471,6404,4981,3735,2668,2668,2312,2312,1779,1245,889,0,0,0,0,0
